// Group Settings
// Note: Rates N / 1000000
//	Group	DropRate	SkillRate	LuckRate	OptionRate	ExcRate
0
	3	160000		1000000		350000		1000000		750000
									
	4	100000		1000000		500000		1000000		1000000

	5	30000		1000000		500000		1000000		1000000

	6	160000		0		350000		1000000		750000

	7	100000		0		500000		1000000		1000000

	8	120000		0		0		1000000		0

	9	100000		0		0		0		0

	10	157000		0		0		0		0

	11	52150		0		0		0		0

	12	16600		0		0		0		0

	13	2000		0		0		0		0

	14	70		0		0		0		0

	15	180		0		0		0		0

	16	300		0		0		0		0

	17	300		0		0		0		0

	18	1400		0		0		0		0

end
// AddOption Settings ( Additional Dmg/Def )
1
	//Op	Rate

	0	500000

	1	300000

	2	150000

	3	50000

	4	0

end
// ExcOption Settings ( ExcOption Rates )
2

	//Op	Rate

	0	250000

	1	150000

	2	150000

	3	150000

	4	1000

	5	1000

end

//ItemDrop Groups

	//Type	Index	LvlMin	LvlMax	Skill	Luck	Option	ExOption
	2	9	0	0	1	1	1	2
	3	9	0	0	1	1	1	2
	4	0	0	0	1	1	1	2
	4	11	0	0	1	1	1	2
	4	13	0	0	1	1	1	2
	4	14	0	0	1	1	1	2
	5	6	0	0	0	1	1	2

end


5
	6	0	0	0	0	1	1	2
	6	1	0	0	0	1	1	2
	6	2	0	0	1	1	1	2
	6	3	0	0	1	1	1	2
	6	4	0	0	1	1	1	2
	6	5	0	0	0	1	1	2
	6	6	0	0	1	1	1	2
	6	7	0	0	1	1	1	2
	6	8	0	0	1	1	1	2
	6	9	0	0	1	1	1	2
	6	10	0	0	1	1	1	2
	6	11	0	0	1	1	1	2
	6	12	0	0	1	1	1	2
	6	13	0	0	1	1	1	2
	6	14	0	0	0	1	1	2
	6	15	0	0	0	1	1	2
	6	16	0	0	1	1	1	2
end


	//Type	Index	LvlMin	LvlMax	Skill	Luck	Option	ExOption

6
	8	15	0	0	0	1	1	2
	9	15	0	0	0	1	1	2
	10	15	0	0	0	1	1	2
	11	15	0	0	0	1	1	2
	7	16	0	0	0	1	1	2
	8	16	0	0	0	1	1	2
	9	16	0	0	0	1	1	2
	10	16	0	0	0	1	1	2
	11	16	0	0	0	1	1	2
	7	17	0	0	0	1	1	2
	8	17	0	0	0	1	1	2
	9	17	0	0	0	1	1	2
	10	17	0	0	0	1	1	2
	11	17	0	0	0	1	1	2
	7	18	0	0	0	1	1	2
	8	18	0	0	0	1	1	2
	9	18	0	0	0	1	1	2
	10	18	0	0	0	1	1	2
	11	18	0	0	0	1	1	2
	7	19	0	0	0	1	1	2
	8	19	0	0	0	1	1	2
	9	19	0	0	0	1	1	2
	10	19	0	0	0	1	1	2
	11	19	0	0	0	1	1	2
	8	20	0	0	0	1	1	2
	9	20	0	0	0	1	1	2
	10	20	0	0	0	1	1	2
	11	20	0	0	0	1	1	2
	7	27	0	0	0	1	1	2
	8	27	0	0	0	1	1	2
	9	27	0	0	0	1	1	2
	10	27	0	0	0	1	1	2
	11	27	0	0	0	1	1	2
	7	28	0	0	0	1	1	2
	8	28	0	0	0	1	1	2
	9	28	0	0	0	1	1	2
	10	28	0	0	0	1	1	2
	11	28	0	0	0	1	1	2
	7	34	0	0	0	1	1	2
	8	34	0	0	0	1	1	2
	9	34	0	0	0	1	1	2
	10	34	0	0	0	1	1	2
	11	34	0	0	0	1	1	2
	7	35	0	0	0	1	1	2
	8	35	0	0	0	1	1	2
	9	35	0	0	0	1	1	2
	10	35	0	0	0	1	1	2
	11	35	0	0	0	1	1	2
	7	36	0	0	0	1	1	2
	8	36	0	0	0	1	1	2
	9	36	0	0	0	1	1	2
	10	36	0	0	0	1	1	2
	11	36	0	0	0	1	1	2
	8	37	0	0	0	1	1	2
	9	37	0	0	0	1	1	2
	10	37	0	0	0	1	1	2
	11	37	0	0	0	1	1	2
	7	38	0	0	0	1	1	2
	8	38	0	0	0	1	1	2
	9	38	0	0	0	1	1	2
	10	38	0	0	0	1	1	2
	11	38	0	0	0	1	1	2
	7	21	0	0	0	1	1	2
	8	21	0	0	0	1	1	2
	9	21	0	0	0	1	1	2
	10	21	0	0	0	1	1	2
	11	21	0	0	0	1	1	2
	7	22	0	0	0	1	1	2
	8	22	0	0	0	1	1	2
	9	22	0	0	0	1	1	2
	10	22	0	0	0	1	1	2
	11	22	0	0	0	1	1	2
	8	23	0	0	0	1	1	2
	9	23	0	0	0	1	1	2
	10	23	0	0	0	1	1	2
	11	23	0	0	0	1	1	2
	7	24	0	0	0	1	1	2
	8	24	0	0	0	1	1	2
	9	24	0	0	0	1	1	2
	10	24	0	0	0	1	1	2
	11	24	0	0	0	1	1	2
	7	28	5	7	0	1	1	0
	8	28	5	7	0	1	1	0
	9	28	5	7	0	1	1	0
	10	28	5	7	0	1	1	0
	11	28	5	7	0	1	1	0
	7	21	5	7	0	1	1	0
	8	21	5	7	0	1	1	0
	9	21	5	7	0	1	1	0
	10	21	5	7	0	1	1	0
	11	21	5	7	0	1	1	0
	7	22	5	7	0	1	1	0
	8	22	5	7	0	1	1	0
	9	22	5	7	0	1	1	0
	10	22	5	7	0	1	1	0
	11	22	5	7	0	1	1	0
	8	23	5	7	0	1	1	0
	9	23	5	7	0	1	1	0
	10	23	5	7	0	1	1	0
	11	23	5	7	0	1	1	0
	7	24	5	7	0	1	1	0
	8	24	5	7	0	1	1	0
	9	24	5	7	0	1	1	0
	10	24	5	7	0	1	1	0
	11	24	5	7	0	1	1	0
end

7
	7	10	0	0	0	1	1	2
	8	10	0	0	0	1	1	2
	9	10	0	0	0	1	1	2
	10	10	0	0	0	1	1	2
	11	10	0	0	0	1	1	2
	7	11	0	0	0	1	1	2
	8	11	0	0	0	1	1	2
	9	11	0	0	0	1	1	2
	10	11	0	0	0	1	1	2
	11	11	0	0	0	1	1	2
	7	12	0	0	0	1	1	2
	8	12	0	0	0	1	1	2
	9	12	0	0	0	1	1	2
	10	12	0	0	0	1	1	2
	11	12	0	0	0	1	1	2
	7	13	0	0	0	1	1	2
	8	13	0	0	0	1	1	2
	9	13	0	0	0	1	1	2
	10	13	0	0	0	1	1	2
	11	13	0	0	0	1	1	2
	7	14	0	0	0	1	1	2
	8	14	0	0	0	1	1	2
	9	14	0	0	0	1	1	2
	10	14	0	0	0	1	1	2
	11	14	0	0	0	1	1	2
	7	25	0	0	0	1	1	2
	8	25	0	0	0	1	1	2
	9	25	0	0	0	1	1	2
	10	25	0	0	0	1	1	2
	11	25	0	0	0	1	1	2
	7	26	0	0	0	1	1	2
	8	26	0	0	0	1	1	2
	9	26	0	0	0	1	1	2
	10	26	0	0	0	1	1	2
	11	26	0	0	0	1	1	2

end
	//Type	Index	LvlMin	LvlMax	Skill	Luck	Option	ExOption

8
	13	8	0	0	0	0	1	2
	13	9	0	0	0	0	1	2
	13	21	0	0	0	0	1	2
	13	22	0	0	0	0	1	2
	13	23	0	0	0	0	1	2
	13	24	0	0	0	0	1	2
	13	12	0	0	0	0	1	2
	13	13	0	0	0	0	1	2
	13	25	0	0	0	0	1	2
	13	26	0	0	0	0	1	2
	13	27	0	0	0	0	1	2
	13	28	0	0	0	0	1	2
end

	//Type	Index	LvlMin	LvlMax	Skill	Luck	Option	ExOption

9
	14	13	0	0	0	0	0	0
	14	16	0	0	0	0	0	0
	14	42	0	0	0	0	0	0
end

	//Type	Index	LvlMin	LvlMax	Skill	Luck	Option	ExOption


10
	12	15	0	0	0	0	0	0
	14	14	0	0	0	0	0	0
	14	22	0	0	0	0	0	0
	14	41	0	0	0	0	0	0
	14	43	0	0	0	0	0	0
	14	44	0	0	0	0	0	0
end

	//Type	Index	LvlMin	LvlMax	Skill	Luck	Option	ExOption

11
	12	30	0	0	0	0	0	0
	12	31	0	0	0	0	0	0
end

	//Type	Index	LvlMin	LvlMax	Skill	Luck	Option	ExOption

12
	13	0	0	0	0	0	0	0
	13	1	0	0	0	0	0	0
	13	2	0	0	0	0	0	0
	13	3	0	0	0	0	0	0
	13	18	1	7	0	0	0	0
	14	19	1	6	0	0	0	0
end

13
	13	4	0	0	0	0	0	0
	13	5	0	0	0	0	0	0
	13	37	0	0	0	0	0	0
end
